No,T,P,phiV,T0_in,Reactor,CO2_in,CO_in,H2_in,N2_in,CO2_out,CO_out,H2_out,MeOH_out,H2O_out,N2_out,tet0,gamma,Density,d,L,phiVout,T0_out,T_K,CO2_conversion,MeOH_selectivity,data_source
193,260.0,50,167.130183,20.0,0,15.92,0.005,78.3,5.76,11.4825074545195,2.56843785505352,71.8481626428943,2.7892175209584,5.34708402458032,5.96459050199397,0.0,0.947230634815109,870.0,0.00635,0.031576,0.0,20.0,533.15,0.2787369689372174,0.628557116968943,published Slotboom et al.
229,230.0100598,40,95.57,18.21,0,25.0,0.005,74.989999,1e-06,20.8525827451562,2.21650561137471,68.5712809069044,2.99093765158814,5.36869216857284,9.16403692634353e-07,0.0,0.956489262295402,775.66,0.003,0.28,83.77,21.47,503.1600598,0.16589669019375194,0.7211566784352365,published Slotboom et al.
209,240.0,50,100.340275216667,20.0,0,12.1,0.005,79.76,8.13,8.47737861299556,1.56420772454069,74.2357578264423,2.69153408556944,4.24522725980203,8.78589449064999,0.0,0.948803629129118,860.0,0.00635,0.031576,0.0,20.0,513.15,0.2993901972730942,0.7429796818472052,published Slotboom et al.
199,260.0,50,166.952726833333,20.0,0,12.01,0.005,79.96,8.02,8.04187818663645,2.03095156373829,74.3675185422559,2.56855876876752,4.58899337034347,8.40209956825835,0.0,0.951153979084126,860.0,0.00635,0.031576,0.0,20.0,533.15,0.3304014832109533,0.6472983667278854,published Slotboom et al.
143,230.0,20,66.79446565,20.0,0,22.58,0.005,67.79,9.61,20.8523773518817,1.10075331295005,64.7893373535429,1.1629693494446,2.25348977172874,9.84107286045203,0.0,0.977269974097942,870.0,0.00635,0.031576,0.0,20.0,503.15,0.07651118902206816,0.6731616714513955,published Slotboom et al.
186,240.0,50,166.257536766667,20.0,0,23.37,0.005,67.97,8.65,20.5557812508087,1.86346356346845,63.1554306153814,1.81412804307898,3.6672266053253,8.94396992193715,0.0,0.964995121482389,860.0,0.00635,0.031576,0.0,20.0,513.15,0.12042014331156616,0.6446293642241886,published Slotboom et al.
194,210.0,50,166.952726833333,20.0,0,12.05,0.005,79.8,8.14,10.827740026934,0.281179898969529,77.8411409109372,1.2732589887948,1.54417174106889,8.23250843329568,0.0,0.975197413136007,860.0,0.00635,0.031576,0.0,20.0,483.15,0.10143236291004153,1.0417251786466264,published Slotboom et al.
192,250.0,50,167.130183,20.0,0,15.99,0.005,78.25,5.75,12.0616636038053,2.15530345038386,72.3999554598595,2.6524884634188,4.79724850410415,5.93334051842843,0.0,0.949684427727495,870.0,0.00635,0.031576,0.0,20.0,523.15,0.24567457136927454,0.6752192775517423,published Slotboom et al.
198,250.0,50,166.952726833333,20.0,0,12.03,0.005,79.76,8.2,8.43908481776848,1.81727113463719,74.7934271684684,2.38816250277185,4.19493154566886,8.36712283068519,0.0,0.954520250596654,860.0,0.00635,0.031576,0.0,20.0,523.15,0.2984966901273084,0.6650567840167594,published Slotboom et al.
146,260.0,20,66.79446565,20.0,0,22.55,0.005,67.8,9.64,18.8519345406634,3.31729326520996,63.3222045864915,0.705646293179635,4.01279998653718,9.79012132791832,0.0,0.986081339459882,870.0,0.00635,0.031576,0.0,20.0,533.15,0.16399403367346344,0.19081498176244333,published Slotboom et al.
183,210.0,50,166.257536766667,20.0,0,23.24,0.005,68.07,8.68,22.2041603878217,0.37801465240198,65.6539939479475,1.28759088640856,1.65533897282059,8.82090115259968,0.0,0.974916814684305,860.0,0.00635,0.031576,0.0,20.0,483.15,0.044571411883747705,1.2430407866917237,published Slotboom et al.
159,210.0,50,65.77221235,20.0,0,22.87,0.005,67.34,9.78,21.2908324027692,0.613633891433796,63.7618107202791,1.82607147176767,2.42933362466739,10.0783178890829,0.0,0.964787552910868,860.0,0.00635,0.031576,0.0,20.0,483.15,0.0690497418990293,1.1563506463594089,published Slotboom et al.
181,250.0,50,132.86392895,20.0,0,23.0,0.005,67.29,9.7,19.2848760305724,2.57418837027707,61.2013141439849,2.10446319306408,4.66823716629904,10.1669210958025,0.0,0.959585501022226,810.0,0.00635,0.031576,0.0,20.0,523.15,0.1615271291055479,0.566458403644689,published Slotboom et al.
196,230.0,50,166.952726833333,20.0,0,12.13,0.005,79.68,8.18,9.85491039274887,0.929352998844213,76.3267717966361,1.81399134136996,2.73296686514584,8.34200660525498,0.0,0.96503983234025,860.0,0.00635,0.031576,0.0,20.0,503.15,0.18755891238673789,0.7973274263960569,published Slotboom et al.
