No,T,P,phiV,T0_in,Reactor,CO2_in,CO_in,H2_in,N2_in,CO2_out,CO_out,H2_out,MeOH_out,H2O_out,N2_out,tet0,gamma,Density,d,L,phiVout,T0_out
99,240,60,244,20,1,0.005,20.18,64.24,15.57,0.014999985000015,19.3399806600193,63.0899369100631,1.47999852000148,9.99999000001e-05,16.0749839250161,14.563,0.97275248817099,1097.22222222222,0,0,0,20
100,250,60,244,20,1,0.005,20.18,64.24,15.57,0.0326,18.78,62.41,2.4,0.03,16.3474,14.702,0.955834728127385,1097.22222222222,0,0,0,20
101,260,60,244,20,1,0.005,20.18,64.24,15.57,0.0694,18.04,61.47,3.65,0.03,16.7406,14.881,0.934758204612017,1097.22222222222,0,0,0,20
102,230,30,240,20,1,0.005,16.42,67.78,15.79,0.004999995000005,15.999984000016,67.8099321900678,0.38999961000039,9.99999000001e-05,15.7949842050158,19.542,0.987498161494337,1097.22222222222,0,0,0,20
103,240,30,240,20,1,0.005,16.42,67.78,15.79,0.0112999887000113,15.7899842100158,67.5599324400676,0.64999935000065,9.99999000001e-05,15.988684011316,19.703,0.981616260267203,1097.22222222222,0,0,0,20
104,260,30,240,20,1,0.005,16.42,67.78,15.79,0.0542,15.18,66.92,1.5,0.06,16.2858,19.964,0.96560412819495,1097.22222222222,0,0,0,20
105,250,30,240,20,1,0.005,16.42,67.78,15.79,0.0251999748000252,15.5399844600155,67.2899327100673,1.03999896000104,9.99999000001e-05,16.1047838952161,20.117,0.974885871269762,1097.22222222222,0,0,0,20
106,240,30,240,20,1,0.005,16.42,67.78,15.79,0.0112999887000113,15.8899841100159,67.5499324500675,0.63999936000064,9.99999000001e-05,15.9086840913159,20.257,0.984495010073698,1097.22222222222,0,0,0,20
107,230,30,240,20,1,0.005,16.42,67.78,15.79,0.004999995000005,16.0799839200161,67.6099323900676,0.38999961000039,9.99999000001e-05,15.9149840850159,20.41,0.989827509951349,1097.22222222222,0,0,0,20
108,260,40,240,20,1,0.005,16.42,67.78,15.79,0.0502,14.88,66.31,2,0.01,16.7498,19.04,0.957233859331961,1097.22222222222,0,0,0,20
109,250,40,240,20,1,0.005,16.42,67.78,15.79,0.0241,15.36,67.02,1.36,0.02,16.2159,19.192,0.969785560970537,1097.22222222222,0,0,0,20
110,240,40,240,20,1,0.005,16.42,67.78,15.79,0.0107999892000108,15.7199842800157,67.3599326400674,0.83999916000084,9.99999000001e-05,16.0691839308161,19.332,0.979596839144188,1097.22222222222,0,0,0,20
111,230,40,240,20,1,0.005,16.42,67.78,15.79,0.004999995000005,15.9399840600159,67.5899324100676,0.50999949000051,9.99999000001e-05,15.954984045016,19.485,0.985758332109822,1097.22222222222,0,0,0,20
112,260,50,240,20,1,0.005,16.42,67.78,15.79,0.0536,14.4,66.19,2.7,0.03,16.6264,17.458,0.94439943285396,1097.22222222222,0,0,0,20
113,250,50,240,20,1,0.005,16.42,67.78,15.79,0.0234999765000235,15.0699849300151,66.9199330800669,1.73999826000174,9.99999000001e-05,16.2464837535162,17.625,0.961712002062653,1097.22222222222,0,0,0,20
114,240,50,240,20,1,0.005,16.42,67.78,15.79,0.0105999894000106,15.5299844700155,67.3399326600673,1.06999893000107,9.99999000001e-05,16.049383950616,17.765,0.974189916249267,1097.22222222222,0,0,0,20
115,230,50,240,20,1,0.005,16.42,67.78,15.79,0.0049,15.85,67.54,0.66,0.01,15.9351,17.925,0.983157173357231,1097.22222222222,0,0,0,20
116,230,60,240,20,1,0.005,16.42,67.78,15.79,0.0049,15.81,67.49,0.77,0.02,15.9051,18.008,0.982006780731956,1097.22222222222,0,0,0,20
117,240,60,240,20,1,0.005,16.42,67.78,15.79,0.0105,15.53,67.17,1.22,0.01,16.0595,18.217,0.97418708919166,1097.22222222222,0,0,0,20
