z_m,z_mm,yield_tr_pct,yield_mr_pct,p_h2o_mr_bar,p_h2o_crit_bar,F_CO2_mol_s,F_H2_mol_s,F_CH3OH_mol_s,F_H2O_mol_s,F_CO_mol_s
0.0021083053674908064,2.1083053674908063,0.6994375946336672,0.9993866211516778,6.940759739550719,1.5,7.499256887374382e-05,0.0002519268202393438,2.782975008056782e-06,1.5254944307826825e-05,1.3474584705092864e-05
0.002535549491895773,2.535549491895773,0.8389449673667915,1.199073235495101,6.918971059833062,1.5,7.463419932745266e-05,0.0002512784779448256,2.9276040046120307e-06,1.536118647513493e-05,1.3687973462113791e-05
0.0030814505582932826,3.0814505582932825,1.016116475830343,1.4528425474374884,6.891299882479652,1.5,7.430388411167945e-05,0.00025058432163319055,3.1090411025265682e-06,1.5368195417111396e-05,1.3836375258778511e-05
0.0037539487950677955,3.7539487950677954,1.2327194300811362,1.763353529400209,6.857470183707406,1.5,7.398402554474965e-05,0.00024981800472823653,3.3316341097445745e-06,1.529079210896294e-05,1.3933013430993675e-05
0.004616512384200399,4.616512384200399,1.5078877877078494,2.1582414708447653,6.814493564656372,1.5,7.362447700353166e-05,0.000248881938795359,3.6190113231179977e-06,1.5144681101914466e-05,1.4004314520502445e-05
0.005793187140848652,5.793187140848652,1.8785091350522023,2.69086512714668,6.756608811502424,1.5,7.315906964786278e-05,0.0002476183979227886,4.016755399188684e-06,1.492877160638077e-05,1.4070670439803742e-05
0.007572899514827218,7.572899514827219,2.4288150912366357,3.4833387271448366,6.670660377443966,1.5,7.246532866091273e-05,0.00024568996747833675,4.631829746329794e-06,1.4610943454579795e-05,1.4147089835623177e-05
0.010601234693033946,10.601234693033945,3.3375236754663407,4.796299447469909,6.528735546443507,1.5,7.129094063877431e-05,0.000242343651704639,5.713155395328904e-06,1.411360805702985e-05,1.42355532443279e-05
0.018337991562878932,18.337991562878933,5.508738588446761,7.956731978998329,6.189628692014882,1.5,6.832907149316572e-05,0.000233511004655872,8.631947481466027e-06,1.3053571029430934e-05,1.4262133053116728e-05
0.032039142095878326,32.039142095878326,8.874416346878375,12.928443735353799,5.66396704937471,1.5,6.329036029296799e-05,0.00021748531304342474,1.407753629904817e-05,1.1671404684140094e-05,1.3807527622231545e-05
0.04159827824064384,41.59827824064384,10.903619341090263,15.975154219227608,5.347040042172202,1.5,5.997342739878812e-05,0.00020648525973194617,1.7870451696721384e-05,1.0925391699358071e-05,1.3283019001924935e-05
0.05186857268050953,51.86857268050953,12.829838850387116,18.907286306099333,5.04619730438902,1.5,5.6613374591934635e-05,0.0001951511216863929,2.1790607780675966e-05,1.0232097947771143e-05,1.26561543621677e-05
0.064119322588839,64.119322588839,14.826396436298532,21.99420606583791,4.73436895492607,1.5,5.289334534731215e-05,0.0001825268534369989,2.614287192137593e-05,9.486097857859095e-06,1.1924210160429749e-05
0.07790322860989136,77.90322860989137,16.735974234605223,25.000345144268238,4.4361253694573115,1.5,4.908609628809968e-05,0.0001696664129031718,3.053133535007843e-05,8.699941857469305e-06,1.1205023616815448e-05
0.09387321022655927,93.87321022655927,18.573743943589022,27.9535788693382,4.149096986660217,1.5,4.516564788739276e-05,0.00015663212436664684,3.489553658568216e-05,7.824403479756657e-06,1.056873214131474e-05
0.11122395617334574,111.22395617334574,20.195520483455024,30.620559053085092,3.895803064565156,1.5,4.1469662711602255e-05,0.00014468505511538036,3.877502706614966e-05,6.906894969674243e-06,1.013936504653472e-05
0.1300873219116558,130.0873219116558,21.602051674254,32.99230202733132,3.676126806394628,1.5,3.8048759810660263e-05,0.0001340733065232017,4.2064687097573976e-05,5.966852243211591e-06,9.96504512949233e-06
0.1492087084963258,149.2087084963258,22.726588539343958,34.93919508571956,3.500493267434536,1.5,3.511698846735486e-05,0.00012543190184898564,4.457498498263059e-05,5.107635644905288e-06,1.0042196857278596e-05
0.16236060256832774,162.36060256832775,23.35797840348872,36.05737991047962,3.4018809055406405,1.5,3.335695359162964e-05,0.00012046810452715546,4.592276635269033e-05,4.585545222839184e-06,1.0200483182550474e-05
0.17266241253549314,172.66241253549313,23.784924028173748,36.82598220840237,3.335199257891001,1.5,3.209987776216257e-05,0.00011702240331073556,4.680952722853103e-05,4.218399234367439e-06,1.0363348802534294e-05
0.18203649932715182,182.03649932715183,24.12842606849201,37.45288958465645,3.2815500794122827,1.5,3.10366756065116e-05,0.00011416736784161317,4.751068649856231e-05,3.915573260274031e-06,1.0530726551120681e-05
0.19309881602735937,193.09881602735936,24.48526530726355,38.1134152295446,3.2258178572941074,1.5,2.9869278447206063e-05,0.00011108839989110019,4.8229998293367956e-05,3.5942517582822485e-06,1.0742446035454334e-05
0.20482043142707912,204.82043142707911,24.813219427888455,38.730141923254166,3.1745969995258827,1.5,2.8723482099941446e-05,0.00010811631757530688,4.8885346704668817e-05,3.2925737576004676e-06,1.0975212283447842e-05
0.21729309550403433,217.29309550403434,25.11324943708543,39.303902109436706,3.127737413197178,1.5,2.7595009369193625e-05,0.0001052309736060356,4.948195916877777e-05,3.010299866489953e-06,1.1225368194840361e-05
0.23170611601307067,231.70611601307067,25.40642718391991,39.87508386931247,3.0819480337473837,1.5,2.6393234063373832e-05,0.00010219726982082638,5.006340218638007e-05,2.726912672089055e-06,1.151131497231396e-05
0.246119136522107,246.119136522107,25.651269969535075,40.36174244724145,3.0437077534494157,1.5,2.528752427457405e-05,9.943627147783528e-05,5.054781070813515e-05,2.48228875127957e-06,1.1789514634386506e-05
0.25,250.0,25.710000000000004,40.48,3.0345351212183114,1.5,2.500463784566418e-05,9.873395112190368e-05,5.06637123213363e-05,2.42219447755179e-06,1.1862719969391936e-05
