z_m,CO2,H2,CO,MeOH,H2O,N2,temperature_k,pressure_bar
0.004366584595691387,0.004613112473896274,0.01508930277809832,0.00014879220212260202,8.595810319057332e-11,0.0001487922880084872,0.0,484.46657761497113,29.99994048435084
0.004607127959856146,0.004609958380080827,0.015086148684128643,0.00015194629586298016,8.603453795802532e-11,0.00015194638182393293,0.0,484.31877836125665,29.999937222639183
0.004847671324020905,0.0046069213437284545,0.015083111647634683,0.00015498333214713627,8.610447236849464e-11,0.0001549834181763068,0.0,484.17915902211683,29.999933961894534
0.0050882146881856645,0.00460399148549705,0.015080181789273296,0.0001579131903156386,8.616876641611358e-11,0.0001579132764077102,0.0,484.04705461549486,29.99993070206406
0.005374188623046289,0.00460063580877346,0.015076826112407947,0.00016126886697075653,8.623884369722648e-11,0.00016126895313130026,0.0,483.89897284096725,29.999926827683417
0.005660162557906914,0.004597406771125346,0.015073597074629625,0.00016449790455681725,8.630293073838604e-11,0.00016449799077941407,0.0,483.7598309683551,29.999922954451414
0.005946136492767539,0.004594293411614298,0.015070483714998343,0.00016761126401140805,8.636182759121421e-11,0.0001676113502904602,0.0,483.62888259765725,29.999919082299595
0.006232110427628164,0.004591286141887384,0.015067476445160419,0.00017061853368621624,8.641619883439536e-11,0.00017061862001737662,0.0,483.5054721596446,29.999915211165057
0.0065180843624887885,0.004588376527171848,0.015064566830342433,0.00017352814835300105,8.646660007474479e-11,0.00017352823473291222,0.0,483.3890206327412,29.999911340989787
0.00688426478917306,0.004584781607407681,0.015060971910456392,0.00017712306806060986,8.652607756063623e-11,0.00017712315449707914,0.0,483.2492528442176,29.99990638667012
0.007250445215857332,0.004581320968125124,0.01505751127106264,0.00018058370729074656,8.658061509488023e-11,0.00018058379377963613,0.0,483.1191097492493,29.999901433732255
0.007616625642541604,0.004577982789173949,0.0150541730920104,0.00018392188619220933,8.663087343077353e-11,0.00018392197273081186,0.0,482.9977685949106,29.999896482081947
0.007982806069225877,0.004574756744304265,0.015050947047047947,0.00018714793101508713,8.667739835356191e-11,0.00018714801760049687,0.0,482.8845070479527,29.999891531632755
0.008348986495910149,0.004571633761297885,0.015047824063955306,0.00019027091397798702,8.672064581891678e-11,0.00019027100060687606,0.0,482.7786873709852,29.999886582305137
0.008908082751449628,0.004567046332875861,0.015043236635412217,0.00019485834233936439,8.678121606242948e-11,0.0001948584290288998,0.0,482.63020453183583,29.999879027508364
0.009467179006989106,0.0045626561493022355,0.015038846451728522,0.00019924852585828136,8.683614234070896e-11,0.00019924861260252585,0.0,482.49602060477713,29.99987147491949
0.010026275262528585,0.004558442629349453,0.01503463293167529,0.00020346204576105446,8.688629467280903e-11,0.00020346213255530875,0.0,482.374661600285,29.99986392432692
0.010585371518068064,0.0045543882229903705,0.015030578525224067,0.0002075164520740437,8.69323731115368e-11,0.00020751653891439167,0.0,482.26486184097683,29.999856375540144
0.011144467773607543,0.004550477842696549,0.015026668144845155,0.00021142683232523127,8.69749478540804e-11,0.00021142691920821263,0.0,482.1655258251162,29.999848828386916
0.01187289270103926,0.0045455778408432885,0.015021768142889993,0.00021632683412745775,8.702592576866364e-11,0.00021632692106147305,0.0,482.0502386432859,29.999838997686197
0.01260131762847098,0.004540875784607507,0.015017066086560917,0.00022102889031660157,8.70725705628323e-11,0.0002210289772972547,0.0,481.9492968898853,29.999829169183936
0.013329742555902697,0.004536351057946635,0.015012541359814092,0.00022555361693453577,8.711553405320387e-11,0.0002255537039581276,0.0,481.8611681543851,29.999819342604052
0.014058167483334416,0.004531986071755751,0.015008176373543581,0.00022991860308561925,8.715534356142739e-11,0.0002299186901490123,0.0,481.78453462843527,29.999809517699113
0.014786592410766134,0.004527765707287975,0.01500395600900164,0.00023413896751630066,8.719243040428537e-11,0.00023413905461678604,0.0,481.7182548911398,29.999799694246445
0.015753183981462405,0.0045223665339342274,0.014998556835556679,0.0002395381408244254,8.723804165616975e-11,0.00023953822797053473,0.0,481.6446006833001,29.999786660806784
0.016719775552158676,0.004517173236519643,0.014993363538057898,0.0002447314381969043,8.72801441613535e-11,0.0002447315253851197,0.0,481.5854497215107,29.999773629153953
0.017686367122854946,0.004512164108650356,0.014988354410110366,0.0002497405660270754,8.731926300861223e-11,0.0002497406532544063,0.0,481.53912066841286,29.999760598919508
0.018652958693551217,0.004507320695419262,0.014983510996806148,0.00025458397922161174,8.735582346674188e-11,0.00025458406648550035,0.0,481.504172152287,29.99974756977659
0.019619550264247488,0.0045026271897596415,0.014978817491077828,0.000259277484846881,8.739017382644909e-11,0.0002592775721451199,0.0,481.4793599966278,29.999734541434233
0.020899870492070344,0.0044966180570446155,0.01497280835827764,0.00026528661751932327,8.743275582190882e-11,0.0002652867048601461,0.0,481.4602728868435,29.999717285248074
0.0221801907198932,0.0044908214802926415,0.014967011781446184,0.0002710831942315582,8.747249553568727e-11,0.000271083281612122,0.0,481.45495097111984,29.999700029483364
0.023460510947716055,0.004485215181791967,0.014961405482870867,0.0002766894926949098,8.750981665914818e-11,0.00027668958011279444,0.0,481.4615976407236,29.999682773680785
0.02474083117553891,0.0044797803100865745,0.014955970611094981,0.00028212436436505806,8.754506303763347e-11,0.0002821244518181885,0.0,481.4786820692176,29.999665517439627
0.026021151403361767,0.0044745007989285095,0.014950691099870008,0.0002874038754896688,8.757851679462636e-11,0.0002874039629762529,0.0,481.5048917916988,29.999648260409554
0.027567421241545466,0.004468312240054571,0.014944502540919384,0.0002935924343252639,8.761685944408904e-11,0.00029359252185019084,0.0,481.54710967364247,29.999627417242387
0.029113691079729165,0.004462309792166004,0.014938500092958022,0.00029959488217743216,8.765325869258156e-11,0.0002995949697387585,0.0,481.59930332480167,29.999606572011817
0.030659960917912864,0.0044564761985128225,0.014932666499235388,0.00030542847579588756,8.768798451837894e-11,0.00030542856339193977,0.0,481.66004265109757,29.99958572431854
0.03220623075609656,0.004450796768787688,0.0149269870694437,0.00031110790548774796,8.772125985254817e-11,0.0003111079931170754,0.0,481.7281076363007,29.9995648738198
0.03375250059428026,0.004445258924636849,0.014921449225228842,0.0003166457496065757,8.775327046107135e-11,0.00031664583726791364,0.0,481.80245289150196,29.999544020221368
0.03578202993439836,0.004438187213753352,0.014914377514264639,0.00032371746044971666,8.779362482539208e-11,0.00032371754815140903,0.0,481.908071064614,29.999516644073584
0.03781155927451645,0.004431320248492694,0.014907510548926516,0.00033058442567164423,8.783235605728253e-11,0.00033058451341206783,0.0,482.0212593435415,29.999489261677674
0.03984108861463455,0.004424640857806356,0.014900831158165496,0.0003372638163206389,8.786969831996274e-11,0.0003372639040984048,0.0,482.1406022192872,29.999461872646243
0.041870617954752644,0.004418134571332694,0.014894324871619537,0.0003437701027581553,8.790584519770474e-11,0.0003437701905720681,0.0,482.26491658816974,29.999434476664312
0.04390014729487074,0.004411789121052759,0.014887979421269378,0.000350115553002978,8.79409582361298e-11,0.0003501156408520039,0.0,482.3932104746464,29.999407073477954
0.04655566172534908,0.0044037121321006106,0.014879902432228018,0.0003581925419105186,8.79855641772643e-11,0.0003581926298041504,0.0,482.5657106926694,29.99937120687942
0.049211176155827416,0.004395873193287476,0.01487206349332825,0.00036603148068033555,8.802888093182327e-11,0.00036603156861728407,0.0,482.74208229441535,29.9993353272622
0.051866690586305754,0.004388256234020106,0.014864446533976419,0.000373648439905475,8.807111190483815e-11,0.0003736485278846544,0.0,482.92110567406655,29.999299434387193
0.05452220501678409,0.004380847822157804,0.01485703812203149,0.00038105685172646264,8.811242612113149e-11,0.0003810569397469563,0.0,483.10179635427176,29.999263528095327
0.05717771944726243,0.004373636642594262,0.014849826942386868,0.00038826803124946584,8.815296547069802e-11,0.00038826811931049886,0.0,483.2833591836112,29.999227608292486
0.06067677518392013,0.004364419882370099,0.014840610182057835,0.0003974847914211944,8.820540014962255e-11,0.0003974848795346621,0.0,483.5228581036647,29.99918025763672
0.06417583092057783,0.004355510748497239,0.014831701048081928,0.0004063939252425298,8.825692429660074e-11,0.0004063940134075217,0.0,483.76163125763867,29.999132883474147
0.06767488665723552,0.004346894182925668,0.014823084482408754,0.0004150104907632997,8.830772539500695e-11,0.00041501057897909275,0.0,483.99882815207417,29.999085485921768
0.07117394239389321,0.004338557475448321,0.014814747774830935,0.00042334719819041105,8.835796136387064e-11,0.0004233472864564401,0.0,484.2338070267828,29.999038065167017
0.07467299813055091,0.00433048974008557,0.014806680039368574,0.0004314149335033578,8.840776680858859e-11,0.0004314150218191922,0.0,484.46608712629296,29.998990621450716
0.07935724587407417,0.0043200940262868755,0.014796284325437475,0.0004418106472358507,8.847396860968736e-11,0.00044181073561788686,0.0,484.77221024646394,29.998927072257324
0.08404149361759743,0.0043101439662710924,0.014786334265289946,0.0004517607071857606,8.853984102450864e-11,0.00045176079563366924,0.0,485.07228522445047,29.99886348317853
0.08872574136112069,0.004300622601956459,0.014776812900843827,0.0004612820714346522,8.860558303608014e-11,0.0004612821599483029,0.0,485.3659467020348,29.99879985503598
0.09340998910464395,0.004291514709900608,0.01476770500865641,0.00047038996342472036,8.86713667443047e-11,0.00047039005200415467,0.0,485.6529693455823,29.998736188686717
0.0980942368481672,0.0042828063253060955,0.014758996623929946,0.0004790983479532563,8.873734294522772e-11,0.0004790984365986668,0.0,485.9332255472814,29.998672485008868
0.10524529314552195,0.004270252991421876,0.014746443289842944,0.0004916516817360851,8.883873388659128e-11,0.0004916517704828865,0.0,486.3478935067591,29.99857516386177
